doc	line	kind	token	refs	context
2-3 John/2-3-john-dig-deeper-macro-synthesis.md	104	grk	ἐληλυθότα	1John 4:2	- **[v2.0] ὁ ἐρχόμενος.** 2Jn 7's *present* participle ἐρχόμενον (against 1 Jn 4:2's perfect ἐληλυθότα) borrows the Gospel's title "the one who comes" (**Thielman**, *Theology of the NT*, 559)
2-3 John/2-3-john-dig-deeper-macro-synthesis.md	105	grk	κατ	John 10:3	- **[v2.0] The shepherd link (3 John).** **κατ' ὄνομα occurs in only two places in the Greek New Testament: John 10:3 and 3 John 15.** The Good Shepherd "calls his own sheep by name"
2-3 John/2-3-john-dig-deeper-macro-synthesis.md	105	grk	ὄνομα	John 10:3	- **[v2.0] The shepherd link (3 John).** **κατ' ὄνομα occurs in only two places in the Greek New Testament: John 10:3 and 3 John 15.** The Good Shepherd "calls his own sheep by name"
2-3 John/2-3-john-dig-deeper-macro-synthesis.md	106	grk	φίλοι	John 15:13-15	- **[v2.0] The friends and the colophon.** 3Jn 15's οἱ φίλοι draws on John 15:13–15 (**Myers**, *Reading John and 1, 2, 3 John*, 304–305)
2-3 John/book-overview-2-3-john.md	94	grk	ἐρχόμενον	1John 4:2	The *present* participle ἐρχόμενον (vs 1 Jn 4:2's perfect) borrows the Gospel title: the incarnation confessed as a standing category, not a past datum (Thielman 559)
2-3 John/book-overview-2-3-john.md	95	grk	κατ	John 10:3	**John 10:3** (the shepherd calls his own sheep **κατ' ὄνομα**)
2-3 John/book-overview-2-3-john.md	95	grk	ὄνομα	John 10:3	**John 10:3** (the shepherd calls his own sheep **κατ' ὄνομα**)
2-3 John/book-overview-2-3-john.md	96	grk	ἀποσυνάγωγος	John 9:34-35	**John 9:34–35 / the ἀποσυνάγωγος motif** (ἐκβάλλω)
2-3 John/book-overview-2-3-john.md	96	grk	ἐκβάλλω	John 9:34-35	**John 9:34–35 / the ἀποσυνάγωγος motif** (ἐκβάλλω)
2-3 John/book-overview-2-3-john.md	216	grk	ἐκβάλλω	John 9:34	**The John 9:34 / Diotrephes irony.** The verbal link (ἐκβάλλω, church-expulsion) is attested (Black
2-3 John/book-overview-2-3-john.md	240	grk	χαίρω	John 9:34	the χαίρω joy-thread and the John 9:34 irony
Acts/dig-deeper-acts-book-overview.md	305	translit	Boulē	Acts 2:23	-   **The plan and necessity of God.** **Boulē** (2:23
Ezekiel/dig-deeper-ezekiel-1-1to28.md	38	translit	ʾādām	Ezek 2:1	Rev 4 reuse), Tone, Vocabulary (*ʾādām* enthroned, over against *ben-ʾādām* addressed at 2:1)
Ezekiel/dig-deeper-ezekiel-1-1to28.md	311	translit	ḥašmal	Ezek 1:4	- ***ḥašmal* (1:4, 27)** and the *merkabah*-mysticism tradition
Ezekiel/dig-deeper-ezekiel-1-1to28.md	362	translit	ḥašmal	Ezek 1:4	***ḥašmal* (1:4, 27).** Lexically uncertain (amber/electrum/glowing alloy)
Ezekiel/dig-deeper-ezekiel-1-1to28.md	377	translit	rāqîaʿ	Ezek 1:22	- the ***rāqîaʿ*/Genesis-1 "enthroned Creator" note** (1:22), supported by the ancient-versions "firmament"
Ezekiel/dig-deeper-ezekiel-sweep.md	89	translit	kerûvîm	Ezek 10:15	The creatures are later named *kerûvîm* (cherubim, 10:15, 20)
Ezekiel/dig-deeper-ezekiel-sweep.md	179	translit	tāw	Ezek 9:4	the mark (*tāw*, 9:4) set on those who "sigh and groan" over the abominations
Ezekiel/dig-deeper-ezekiel-sweep.md	350	translit	tannîn	Ezek 29:3	"the great dragon/*tannîn*" (29:3)
Ezekiel/dig-deeper-ezekiel-sweep.md	405	translit	berît	Ezek 34:25	"covenant of peace" (*berît šālôm*, 34:25)
Ezekiel/dig-deeper-ezekiel-sweep.md	405	translit	šālôm	Ezek 34:25	"covenant of peace" (*berît šālôm*, 34:25)
Ezekiel/dig-deeper-ezekiel-sweep.md	451	translit	rûaḥ	Ezek 36:27;Ezek 36:27	36: the same Spirit (*rûaḥ*) who is given the new heart (36:27) now breathes resurrection life into a dead nation.** `[T]` Surfaced by: Move 4 (36:27), Vocabulary (*rûaḥ* ×10), Structure
Ezekiel/dig-deeper-ezekiel-sweep.md	455	translit	rûaḥ	Ezek 36:27;Ezek 37:9-14	*Implication:* the *rûaḥ* of 36:27 (Spirit) and 37:9–14 (breath/Spirit) are the same word deliberately linked
Ezekiel/dig-deeper-ezekiel-sweep.md	459	translit	rûaḥ	Ezek 37:14	- **Vocabulary / Hebrew.** *rûaḥ* is the pun-key: "breath / wind / Spirit," used ~10× across the vision, culminating in "my Spirit" (37:14)
Ezekiel/dig-deeper-ezekiel-sweep.md	486	translit	miškānî	Ezek 37:27	"my dwelling place" (*miškānî*, 37:27)
Ezekiel/dig-deeper-ezekiel-sweep.md	568	translit	wāḥay	Ezek 47:9	"everything will live" (*wāḥay*, 47:9)
Ezekiel/dig-deeper-ezekiel-sweep.md	568	translit	litrûpâ	Ezek 47:12	"for healing" (*litrûpâ*, 47:12)
Ezekiel/dig-deeper-ezekiel-sweep.md	597	translit	gēr	Ezek 47:22	the *gēr* (sojourner) given *naḥălâ* (inheritance) "as native-born" (47:22)
Ezekiel/dig-deeper-ezekiel-sweep.md	597	translit	naḥălâ	Ezek 47:22	the *gēr* (sojourner) given *naḥălâ* (inheritance) "as native-born" (47:22)
Ezra-Nehemiah/book-overview-ezra-nehemiah.md	73	heb	עוּר	Isa 45:13;Hag 1:14	the verb עוּר (stir up) alludes to Isaiah 45:13 and Haggai 1:14
Ezra-Nehemiah/book-overview-ezra-nehemiah.md	175	grk	σχιζομένους	Mark 1:10	At Jesus' baptism, the heavens are "torn open" (Mark 1:10, σχιζομένους)
Isaiah/book-overview-isaiah.md	30	heb	עַל	Isa 1:1	"which he saw concerning (עַל) Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz and Hezekiah, kings of Judah" (1:1)
Isaiah/book-overview-isaiah.md	30	translit	maśśā'	Isa 2:1;Isa 13:1	`[T]` A second superscription at 2:1 repeats the attribution for a subordinate unit, and 13:1 attributes the Babylon *maśśā'* to him again
Isaiah/book-overview-isaiah.md	87	translit	maśśā'	Isa 13:1;Isa 13:1	13:1), the *maśśā'* headings (13:1
Isaiah/book-overview-isaiah.md	87	heb	הוֹי	Isa 23:1;Isa 5:8	23:1), the הוֹי series (5:8–22
Isaiah/book-overview-isaiah.md	87	heb	אֵין	Isa 48:22	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
Isaiah/book-overview-isaiah.md	87	heb	שָׁלוֹם	Isa 48:22	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
Isaiah/book-overview-isaiah.md	87	heb	לָרְשָׁעִים	Isa 48:22	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
Isaiah/book-overview-isaiah.md	103	heb	אֵין	Isa 48:22	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
Isaiah/book-overview-isaiah.md	103	heb	שָׁלוֹם	Isa 48:22	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
Isaiah/book-overview-isaiah.md	103	heb	לָרְשָׁעִים	Isa 48:22	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
Isaiah/book-overview-isaiah.md	104	heb	רָם	Isa 2:12-17	**The pulse, everywhere: high brought low, low raised high.** 2:12–17 levels all that is רָם וְנִשָּׂא
Isaiah/book-overview-isaiah.md	104	heb	וְנִשָּׂא	Isa 2:12-17	**The pulse, everywhere: high brought low, low raised high.** 2:12–17 levels all that is רָם וְנִשָּׂא
Isaiah/book-overview-isaiah.md	104	heb	רָם	Isa 6:1	6:1 the Lord sits on a throne רָם וְנִשָּׂא
Isaiah/book-overview-isaiah.md	104	heb	וְנִשָּׂא	Isa 6:1	6:1 the Lord sits on a throne רָם וְנִשָּׂא
Isaiah/book-overview-isaiah.md	104	heb	רָם	Isa 57:15	57:15 the רָם וְנִשָּׂא One dwells with the דַּכָּא
Isaiah/book-overview-isaiah.md	104	heb	וְנִשָּׂא	Isa 57:15	57:15 the רָם וְנִשָּׂא One dwells with the דַּכָּא
Isaiah/book-overview-isaiah.md	104	heb	דַּכָּא	Isa 57:15	57:15 the רָם וְנִשָּׂא One dwells with the דַּכָּא
Isaiah/book-overview-isaiah.md	141	heb	הַאֲזִינוּ	Isa 1:2	1:2 (הַאֲזִינוּ / שִׁמְעוּ heavens-and-earth summons ≈ Deut 32:1)
Isaiah/book-overview-isaiah.md	141	heb	שִׁמְעוּ	Deut 32:1	1:2 (הַאֲזִינוּ / שִׁמְעוּ heavens-and-earth summons ≈ Deut 32:1)
Isaiah/book-overview-isaiah.md	141	heb	צוּר	Isa 8:14	the **צוּר** *Rock* motif 8:14
Isaiah/book-overview-isaiah.md	142	heb	לֹא־תֹהוּ	Gen 1:2	45:18 לֹא־תֹהוּ בְרָאָהּ (Gen 1:2 *tohu*)
Isaiah/book-overview-isaiah.md	142	heb	בְרָאָהּ	Gen 1:2	45:18 לֹא־תֹהוּ בְרָאָהּ (Gen 1:2 *tohu*)
Isaiah/book-overview-isaiah.md	147	heb	חַסְדֵי	Isa 55:3	**55:3 חַסְדֵי דָוִד הַנֶּאֱמָנִים**
Isaiah/book-overview-isaiah.md	147	heb	דָוִד	Isa 55:3	**55:3 חַסְדֵי דָוִד הַנֶּאֱמָנִים**
Isaiah/book-overview-isaiah.md	147	heb	הַנֶּאֱמָנִים	Isa 55:3	**55:3 חַסְדֵי דָוִד הַנֶּאֱמָנִים**
Isaiah/book-overview-isaiah.md	147	heb	דָּוִד	Isa 7:2	דָּוִד is named 10× (7:2, 13
Isaiah/book-overview-isaiah.md	148	heb	אָשָׁם	Isa 53:10	**53:10 אָשָׁם**
Isaiah/book-overview-isaiah.md	148	heb	דְּרוֹר	Isa 61:1	**61:1 דְּרוֹר**
Isaiah/book-overview-isaiah.md	151	heb	קָדוֹשׁ	Isa 6:3	6:3 threefold קָדוֹשׁ
Isaiah/book-overview-isaiah.md	160	heb	אֵל	Isa 7:14	with the boundary marked.** The book presents four passages as announcing a coming figure in terms it does not apply to any contemporary: the sign-child **Immanuel** (7:14), the child whose names include אֵל גִּבּוֹר and whose government has no end (9:6–7), th
Isaiah/book-overview-isaiah.md	160	heb	גִּבּוֹר	Isa 9:6-7	with the boundary marked.** The book presents four passages as announcing a coming figure in terms it does not apply to any contemporary: the sign-child **Immanuel** (7:14), the child whose names include אֵל גִּבּוֹר and whose government has no end (9:6–7), th
Isaiah/book-overview-isaiah.md	160	heb	אֵל	Isa 9:6	but it is a claim the book's own escalating language invites, and 9:6's אֵל גִּבּוֹר is not a title the LXX was willing to translate
Isaiah/book-overview-isaiah.md	160	heb	גִּבּוֹר	Isa 9:6	but it is a claim the book's own escalating language invites, and 9:6's אֵל גִּבּוֹר is not a title the LXX was willing to translate
Isaiah/book-overview-isaiah.md	164	heb	עַבְדִּי	Isa 41:8;Isa 53:11	**עַבְדִּי** singular runs from 41:8 to 53:11
Isaiah/book-overview-isaiah.md	168	heb	שְׁלָחַנִי	Isa 61:1	Note what 61:1 does lexically: **שְׁלָחַנִי**, "he has sent me"
Isaiah/book-overview-isaiah.md	206	heb	הָאֲנָשִׁים	Isa 66:24	**66:24** הָאֲנָשִׁים **הַפֹּשְׁעִים בִּי** "the men who rebelled against me"
Isaiah/book-overview-isaiah.md	206	heb	הַפֹּשְׁעִים	Isa 66:24	**66:24** הָאֲנָשִׁים **הַפֹּשְׁעִים בִּי** "the men who rebelled against me"
Isaiah/book-overview-isaiah.md	206	heb	בִּי	Isa 66:24	**66:24** הָאֲנָשִׁים **הַפֹּשְׁעִים בִּי** "the men who rebelled against me"
Isaiah/book-overview-isaiah.md	207	heb	וְאִשָּׁם	Isa 66:24	**66:24** וְאִשָּׁם **לֹא תִכְבֶּה** "their fire shall not be quenched"
Isaiah/book-overview-isaiah.md	207	heb	לֹא	Isa 66:24	**66:24** וְאִשָּׁם **לֹא תִכְבֶּה** "their fire shall not be quenched"
Isaiah/book-overview-isaiah.md	207	heb	תִכְבֶּה	Isa 66:24	**66:24** וְאִשָּׁם **לֹא תִכְבֶּה** "their fire shall not be quenched"
Isaiah/book-overview-isaiah.md	208	heb	בְּחַרְתֶּם	Isa 1:29	**1:29** the **oaks** you desired, the **gardens** you have **chosen** (בְּחַרְתֶּם)
Isaiah/book-overview-isaiah.md	210	heb	רָם	Isa 2:12-17	**2:12–17** everything **רָם וְנִשָּׂא** brought low
Isaiah/book-overview-isaiah.md	210	heb	וְנִשָּׂא	Isa 2:12-17	**2:12–17** everything **רָם וְנִשָּׂא** brought low
Isaiah/book-overview-isaiah.md	210	heb	רָם	Isa 6:1	**6:1** the Lord on a throne **רָם וְנִשָּׂא**
Isaiah/book-overview-isaiah.md	210	heb	וְנִשָּׂא	Isa 6:1	**6:1** the Lord on a throne **רָם וְנִשָּׂא**
Isaiah/book-overview-isaiah.md	210	heb	יָרוּם	Isa 52:13	**52:13** the Servant **יָרוּם וְנִשָּׂא**
Isaiah/book-overview-isaiah.md	210	heb	וְנִשָּׂא	Isa 52:13	**52:13** the Servant **יָרוּם וְנִשָּׂא**
Isaiah/book-overview-isaiah.md	210	heb	רָם	Isa 57:15	**57:15** the **רָם וְנִשָּׂא** One dwells with the **דַּכָּא**
Isaiah/book-overview-isaiah.md	210	heb	וְנִשָּׂא	Isa 57:15	**57:15** the **רָם וְנִשָּׂא** One dwells with the **דַּכָּא**
Isaiah/book-overview-isaiah.md	210	heb	דַּכָּא	Isa 57:15	**57:15** the **רָם וְנִשָּׂא** One dwells with the **דַּכָּא**
Isaiah/book-overview-isaiah.md	210	heb	מְדֻכָּא	Isa 53:5	**53:5, 10** the Servant **מְדֻכָּא**
Isaiah/book-overview-isaiah.md	211	heb	זֶרַע	Isa 6:13	**6:13** "the **holy seed** (זֶרַע קֹדֶשׁ) is its **stump**"
Isaiah/book-overview-isaiah.md	211	heb	קֹדֶשׁ	Isa 6:13	**6:13** "the **holy seed** (זֶרַע קֹדֶשׁ) is its **stump**"
Isaiah/book-overview-isaiah.md	213	heb	סָרִיסִים	Isa 39:7	**39:7** "some of your own sons… shall be **eunuchs** (סָרִיסִים) in the palace of the king of Babylon"
Isaiah/book-overview-isaiah.md	213	heb	סָרִיס	Isa 39:7	סָרִיס occurs only 3× in Isaiah (39:7
Isaiah/book-overview-isaiah.md	216	heb	תַאֲמִינוּ	Isa 7:9	**7:9** "if you are not firm in faith (תַאֲמִינוּ) you will not be firm at all (תֵאָמֵנוּ)"
Isaiah/book-overview-isaiah.md	216	heb	תֵאָמֵנוּ	Isa 7:9	**7:9** "if you are not firm in faith (תַאֲמִינוּ) you will not be firm at all (תֵאָמֵנוּ)"
Isaiah/book-overview-isaiah.md	216	heb	הַמַּאֲמִין	Isa 28:16	**28:16** "the one who **believes** (הַמַּאֲמִין) will not be in haste"
Isaiah/book-overview-isaiah.md	218	heb	מְסִלָּה	Isa 11:16	מְסִלָּה is a whole-book thread (11:16
Isaiah/book-overview-isaiah.md	219	heb	תּוֹלַעַת	Isa 41:14	**41:14** "fear not, you **worm** (תּוֹלַעַת) Jacob"
Isaiah/book-overview-isaiah.md	219	heb	תּוֹלַעְתָּם	Isa 66:24	**66:24** "their **worm** (תּוֹלַעְתָּם) shall not die"
Isaiah/book-overview-isaiah.md	220	heb	אֵילִים	Isa 1:29	**1:29** ashamed of the **oaks** (אֵילִים) that you desired
Isaiah/book-overview-isaiah.md	220	heb	אֵילֵי	Isa 61:3	**61:3** the redeemed called **אֵילֵי הַצֶּדֶק**, "**oaks of righteousness**, the planting of the LORD"
Isaiah/book-overview-isaiah.md	220	heb	הַצֶּדֶק	Isa 61:3	**61:3** the redeemed called **אֵילֵי הַצֶּדֶק**, "**oaks of righteousness**, the planting of the LORD"
Isaiah/book-overview-isaiah.md	221	heb	הִנְנִי	Isa 6:8	**6:8** Isaiah answers **הִנְנִי**
Isaiah/book-overview-isaiah.md	221	heb	הִנְנִי	Isa 65:1	**65:1** God says **הִנְנִי הִנְנִי**
Isaiah/book-overview-isaiah.md	222	heb	אֶשְׁלַח	Isa 6:8	**6:8** "whom shall I **send** (אֶשְׁלַח)… **send me** (שְׁלָחֵנִי)"
Isaiah/book-overview-isaiah.md	222	heb	שְׁלָחֵנִי	Isa 6:8	**6:8** "whom shall I **send** (אֶשְׁלַח)… **send me** (שְׁלָחֵנִי)"
Isaiah/book-overview-isaiah.md	222	heb	שְׁלָחַנִי	Isa 48:16	**48:16** "the Lord GOD **has sent me** (שְׁלָחַנִי), and his Spirit"
Isaiah/book-overview-isaiah.md	223	heb	אֶנָּחֵם	Isa 1:24	**1:24** "Ah, I will **vent myself** (אֶנָּחֵם) on my enemies"
Isaiah/book-overview-isaiah.md	223	heb	אֶנָּחֵם	Isa 57:6	**57:6** "Shall I **relent** (אֶנָּחֵם) for these things?"
Isaiah/book-overview-isaiah.md	224	heb	חָרֵד	Isa 66:2	**66:2, 5** the one who "**trembles at my word**" (חָרֵד)
Isaiah/dig-deeper-isaiah-sweep.md	39	translit	ṣûr	Isa 8:14	the *ṣûr* Rock motif 8:14
Isaiah/dig-deeper-isaiah-sweep.md	40	translit	tōhû	Isa 45:18	45:18 (*tōhû*)
Isaiah/dig-deeper-isaiah-sweep.md	46	translit	ʾāšām	Isa 53:10	53:10 (*ʾāšām*)
Isaiah/dig-deeper-isaiah-sweep.md	46	translit	dərôr	Isa 61:1	61:1 (*dərôr*, Lev 25)
Isaiah/dig-deeper-isaiah-sweep.md	79	heb	הוֹי	Isa 55:1	55:1's הוֹי is a *gracious* summons
Isaiah/dig-deeper-isaiah-sweep.md	96	heb	קְדוֹשׁ	Isa 1:4	**קְדוֹשׁ יִשְׂרָאֵל, the book's spine-title, has its first occurrence here (1:4)
Isaiah/dig-deeper-isaiah-sweep.md	96	heb	יִשְׂרָאֵל	Isa 1:4	**קְדוֹשׁ יִשְׂרָאֵל, the book's spine-title, has its first occurrence here (1:4)
Isaiah/dig-deeper-isaiah-sweep.md	110	translit	ṣûr	Isa 8:14	it establishes the register the *ṣûr* "Rock" motif will keep alive (8:14
Isaiah/dig-deeper-isaiah-sweep.md	112	heb	פָּשְׁעוּ	Isa 43:27	` **פָּשְׁעוּ בִי** (v.2) → 43:27 → **66:24** (only three occurrences)
Isaiah/dig-deeper-isaiah-sweep.md	112	heb	בִי	Isa 43:27	` **פָּשְׁעוּ בִי** (v.2) → 43:27 → **66:24** (only three occurrences)
Isaiah/dig-deeper-isaiah-sweep.md	112	heb	וְאֵין	Isa 66:24	**וְאֵין מְכַבֶּה** (v.31) → **66:24** *"their fire shall not be quenched"*
Isaiah/dig-deeper-isaiah-sweep.md	112	heb	מְכַבֶּה	Isa 66:24	**וְאֵין מְכַבֶּה** (v.31) → **66:24** *"their fire shall not be quenched"*
Isaiah/dig-deeper-isaiah-sweep.md	112	heb	בְּחַרְתֶּם	Isa 65:12	**בְּחַרְתֶּם** *"you have chosen"* (v.29) → 65:12
Isaiah/dig-deeper-isaiah-sweep.md	112	heb	אֶנָּחֵם	Isa 57:6	**אֶנָּחֵם** (v.24) → 57:6 (only two occurrences of this form)
Isaiah/dig-deeper-isaiah-sweep.md	127	heb	רָם	Isa 2:11-17	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
Isaiah/dig-deeper-isaiah-sweep.md	127	heb	נִשָּׂא	Isa 2:11-17	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
Isaiah/dig-deeper-isaiah-sweep.md	127	heb	גָּבֹהַּ	Isa 2:11-17	**The unit is built as a deliberate collision: the highest mountain (2:2) against everything else that is high being brought low (2:12–17).** `[T]` Surfaced by: Structure, Repetition (רָם / נִשָּׂא / גָּבֹהַּ saturate 2:11–17), Linking Words
Isaiah/dig-deeper-isaiah-sweep.md	131	heb	בַּיּוֹם	Isa 2:11=4:2	**"In that day" (בַּיּוֹם הַהוּא) fires six times in 2:11–4:2 alone** `[T]`
Isaiah/dig-deeper-isaiah-sweep.md	131	heb	הַהוּא	Isa 2:11=4:2	**"In that day" (בַּיּוֹם הַהוּא) fires six times in 2:11–4:2 alone** `[T]`
Isaiah/dig-deeper-isaiah-sweep.md	140	heb	צֶמַח	Isa 4:2	- **Vocabulary.** **צֶמַח יְהוָה** (4:2) "the branch of the LORD"
Isaiah/dig-deeper-isaiah-sweep.md	140	heb	יְהוָה	Isa 4:2	- **Vocabulary.** **צֶמַח יְהוָה** (4:2) "the branch of the LORD"
Isaiah/dig-deeper-isaiah-sweep.md	140	translit	ḥōṭer	Isa 11:1	the first of the book's botanical messianic terms, before the *ḥōṭer* and *nēṣer* of 11:1 `[T]`
Isaiah/dig-deeper-isaiah-sweep.md	140	translit	nēṣer	Isa 11:1	the first of the book's botanical messianic terms, before the *ḥōṭer* and *nēṣer* of 11:1 `[T]`
Isaiah/dig-deeper-isaiah-sweep.md	144	heb	סֻכָּה	Isa 4:6	God's presence over it, and a **סֻכָּה** (booth, 4:6) for shade
Isaiah/dig-deeper-isaiah-sweep.md	145	heb	רָם	Isa 6:1	` 2:12–17's רָם וְנִשָּׂא → 6:1
Isaiah/dig-deeper-isaiah-sweep.md	145	heb	וְנִשָּׂא	Isa 6:1	` 2:12–17's רָם וְנִשָּׂא → 6:1
Isaiah/dig-deeper-isaiah-sweep.md	177	heb	נֵס	Isa 11:10	` v.26's **נֵס** *"signal for nations far away"* → 11:10, 12
