verdict	doc	line	kind	token	ref	note	context
FAILED	2-3 John/2-3-john-dig-deeper-macro-synthesis.md	104	grk	ἐρχόμενος	1John 4:2		- **[v2.0] ὁ ἐρχόμενος.** 2Jn 7's *present* participle ἐρχόμενον (against 1 Jn 4:2's perfect ἐληλυθότα) borrows the Gospel's title "the one who comes" (**Thielman**, *Theology of the NT*, 559)
FAILED	2-3 John/2-3-john-dig-deeper-macro-synthesis.md	104	grk	ἐρχόμενον	1John 4:2		- **[v2.0] ὁ ἐρχόμενος.** 2Jn 7's *present* participle ἐρχόμενον (against 1 Jn 4:2's perfect ἐληλυθότα) borrows the Gospel's title "the one who comes" (**Thielman**, *Theology of the NT*, 559)
CONFIRMED	2-3 John/2-3-john-dig-deeper-macro-synthesis.md	104	grk	ἐληλυθότα	1John 4:2		- **[v2.0] ὁ ἐρχόμενος.** 2Jn 7's *present* participle ἐρχόμενον (against 1 Jn 4:2's perfect ἐληλυθότα) borrows the Gospel's title "the one who comes" (**Thielman**, *Theology of the NT*, 559)
FAILED	2-3 John/2-3-john-dig-deeper-macro-synthesis.md	105	grk	κατ	John 10:3		- **[v2.0] The shepherd link (3 John).** **κατ' ὄνομα occurs in only two places in the Greek New Testament: John 10:3 and 3 John 15.** The Good Shepherd "calls his own sheep by name"
CONFIRMED	2-3 John/2-3-john-dig-deeper-macro-synthesis.md	105	grk	ὄνομα	John 10:3		- **[v2.0] The shepherd link (3 John).** **κατ' ὄνομα occurs in only two places in the Greek New Testament: John 10:3 and 3 John 15.** The Good Shepherd "calls his own sheep by name"
CONFIRMED	2-3 John/2-3-john-dig-deeper-macro-synthesis.md	106	grk	φίλοι	John 15:13-15		- **[v2.0] The friends and the colophon.** 3Jn 15's οἱ φίλοι draws on John 15:13–15 (**Myers**, *Reading John and 1, 2, 3 John*, 304–305)
FAILED	2-3 John/book-overview-2-3-john.md	94	grk	ἐρχόμενον	1John 4:2		The *present* participle ἐρχόμενον (vs 1 Jn 4:2's perfect) borrows the Gospel title: the incarnation confessed as a standing category, not a past datum (Thielman 559)
FAILED	2-3 John/book-overview-2-3-john.md	95	grk	κατ	John 10:3		**John 10:3** (the shepherd calls his own sheep **κατ' ὄνομα**)
CONFIRMED	2-3 John/book-overview-2-3-john.md	95	grk	ὄνομα	John 10:3		**John 10:3** (the shepherd calls his own sheep **κατ' ὄνομα**)
FAILED	2-3 John/book-overview-2-3-john.md	96	grk	ἀποσυνάγωγος	John 9:34-35		**John 9:34–35 / the ἀποσυνάγωγος motif** (ἐκβάλλω)
CONFIRMED	2-3 John/book-overview-2-3-john.md	96	grk	ἐκβάλλω	John 9:34-35		**John 9:34–35 / the ἀποσυνάγωγος motif** (ἐκβάλλω)
CONFIRMED	2-3 John/book-overview-2-3-john.md	216	grk	ἐκβάλλω	John 9:34		**The John 9:34 / Diotrephes irony.** The verbal link (ἐκβάλλω, church-expulsion) is attested (Black
FAILED	2-3 John/book-overview-2-3-john.md	240	grk	χαίρω	John 9:34		the χαίρω joy-thread and the John 9:34 irony
CROSS-TESTAMENT	Acts/dig-deeper-acts-book-overview.md	305	translit	Boulē	Acts 2:23		-   **The plan and necessity of God.** **Boulē** (2:23
WEAK	Ezekiel/dig-deeper-ezekiel-1-1to28.md	38	translit	ʾādām	Ezek 2:1	36 cand	Rev 4 reuse), Tone, Vocabulary (*ʾādām* enthroned, over against *ben-ʾādām* addressed at 2:1)
WEAK	Ezekiel/dig-deeper-ezekiel-1-1to28.md	311	translit	ḥašmal	Ezek 1:4	18 cand	- ***ḥašmal* (1:4, 27)** and the *merkabah*-mysticism tradition
WEAK	Ezekiel/dig-deeper-ezekiel-1-1to28.md	362	translit	ḥašmal	Ezek 1:4	18 cand	***ḥašmal* (1:4, 27).** Lexically uncertain (amber/electrum/glowing alloy)
WEAK	Ezekiel/dig-deeper-ezekiel-1-1to28.md	377	translit	rāqîaʿ	Ezek 1:22	59 cand	- the ***rāqîaʿ*/Genesis-1 "enthroned Creator" note** (1:22), supported by the ancient-versions "firmament"
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	89	translit	kerûvîm	Ezek 10:15	116 cand	The creatures are later named *kerûvîm* (cherubim, 10:15, 20)
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	179	translit	tāw	Ezek 9:4	52 cand	the mark (*tāw*, 9:4) set on those who "sigh and groan" over the abominations
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	350	translit	tannîn	Ezek 29:3	80 cand	"the great dragon/*tannîn*" (29:3)
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	405	translit	berît	Ezek 34:25	151 cand	"covenant of peace" (*berît šālôm*, 34:25)
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	405	translit	šālôm	Ezek 34:25	120 cand	"covenant of peace" (*berît šālôm*, 34:25)
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	451	translit	rûaḥ	Ezek 36:27	93 cand	36: the same Spirit (*rûaḥ*) who is given the new heart (36:27) now breathes resurrection life into a dead nation.** `[T]` Surfaced by: Move 4 (36:27), Vocabulary (*rûaḥ* ×10), Structure
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	451	translit	rûaḥ	Ezek 36:27	93 cand	36: the same Spirit (*rûaḥ*) who is given the new heart (36:27) now breathes resurrection life into a dead nation.** `[T]` Surfaced by: Move 4 (36:27), Vocabulary (*rûaḥ* ×10), Structure
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	455	translit	rûaḥ	Ezek 36:27	93 cand	*Implication:* the *rûaḥ* of 36:27 (Spirit) and 37:9–14 (breath/Spirit) are the same word deliberately linked
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	455	translit	rûaḥ	Ezek 37:9-14	93 cand	*Implication:* the *rûaḥ* of 36:27 (Spirit) and 37:9–14 (breath/Spirit) are the same word deliberately linked
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	459	translit	rûaḥ	Ezek 37:14	93 cand	- **Vocabulary / Hebrew.** *rûaḥ* is the pun-key: "breath / wind / Spirit," used ~10× across the vision, culminating in "my Spirit" (37:14)
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	486	translit	miškānî	Ezek 37:27	85 cand	"my dwelling place" (*miškānî*, 37:27)
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	568	translit	wāḥay	Ezek 47:9	35 cand	"everything will live" (*wāḥay*, 47:9)
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	568	translit	litrûpâ	Ezek 47:12	58 cand	"for healing" (*litrûpâ*, 47:12)
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	597	translit	gēr	Ezek 47:22	22 cand	the *gēr* (sojourner) given *naḥălâ* (inheritance) "as native-born" (47:22)
WEAK	Ezekiel/dig-deeper-ezekiel-sweep.md	597	translit	naḥălâ	Ezek 47:22	83 cand	the *gēr* (sojourner) given *naḥălâ* (inheritance) "as native-born" (47:22)
CONFIRMED	Ezra-Nehemiah/book-overview-ezra-nehemiah.md	73	heb	עוּר	Isa 45:13	5 cand	the verb עוּר (stir up) alludes to Isaiah 45:13 and Haggai 1:14
CONFIRMED	Ezra-Nehemiah/book-overview-ezra-nehemiah.md	73	heb	עוּר	Hag 1:14	5 cand	the verb עוּר (stir up) alludes to Isaiah 45:13 and Haggai 1:14
CONFIRMED	Ezra-Nehemiah/book-overview-ezra-nehemiah.md	175	grk	σχιζομένους	Mark 1:10		At Jesus' baptism, the heavens are "torn open" (Mark 1:10, σχιζομένους)
CONFIRMED	Isaiah/book-overview-isaiah.md	30	heb	עַל	Isa 1:1	7 cand	"which he saw concerning (עַל) Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz and Hezekiah, kings of Judah" (1:1)
CONFIRMED-OFFSET	Isaiah/book-overview-isaiah.md	30	translit	maśśā'	Isa 2:1	Isa 2:3	`[T]` A second superscription at 2:1 repeats the attribution for a subordinate unit, and 13:1 attributes the Babylon *maśśā'* to him again
WEAK	Isaiah/book-overview-isaiah.md	30	translit	maśśā'	Isa 13:1	41 cand	`[T]` A second superscription at 2:1 repeats the attribution for a subordinate unit, and 13:1 attributes the Babylon *maśśā'* to him again
WEAK	Isaiah/book-overview-isaiah.md	87	translit	maśśā'	Isa 13:1	41 cand	13:1), the *maśśā'* headings (13:1
WEAK	Isaiah/book-overview-isaiah.md	87	translit	maśśā'	Isa 13:1	41 cand	13:1), the *maśśā'* headings (13:1
FAILED	Isaiah/book-overview-isaiah.md	87	heb	הוֹי	Isa 23:1	2 cand	23:1), the הוֹי series (5:8–22
CONFIRMED	Isaiah/book-overview-isaiah.md	87	heb	הוֹי	Isa 5:8	2 cand	23:1), the הוֹי series (5:8–22
CONFIRMED	Isaiah/book-overview-isaiah.md	87	heb	אֵין	Isa 48:22	4 cand	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED	Isaiah/book-overview-isaiah.md	87	heb	שָׁלוֹם	Isa 48:22	3 cand	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED	Isaiah/book-overview-isaiah.md	87	heb	לָרְשָׁעִים	Isa 48:22	2 cand	33:1), the change from poetry to sustained narrative at 36:1, the twice-repeated refrain **אֵין שָׁלוֹם … לָרְשָׁעִים** at 48:22 and 57:21, and the Masoretic *petuhot*
CONFIRMED	Isaiah/book-overview-isaiah.md	103	heb	אֵין	Isa 48:22	4 cand	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
CONFIRMED	Isaiah/book-overview-isaiah.md	103	heb	שָׁלוֹם	Isa 48:22	3 cand	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
CONFIRMED	Isaiah/book-overview-isaiah.md	103	heb	לָרְשָׁעִים	Isa 48:22	2 cand	**Triple refrain in 40–66.** אֵין שָׁלוֹם לָרְשָׁעִים at 48:22 and 57:21
CONFIRMED	Isaiah/book-overview-isaiah.md	104	heb	רָם	Isa 2:12-17	5 cand	**The pulse, everywhere: high brought low, low raised high.** 2:12–17 levels all that is רָם וְנִשָּׂא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	heb	וְנִשָּׂא	Isa 2:12-17	4 cand	**The pulse, everywhere: high brought low, low raised high.** 2:12–17 levels all that is רָם וְנִשָּׂא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	heb	רָם	Isa 6:1	5 cand	6:1 the Lord sits on a throne רָם וְנִשָּׂא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	heb	וְנִשָּׂא	Isa 6:1	4 cand	6:1 the Lord sits on a throne רָם וְנִשָּׂא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	heb	רָם	Isa 57:15	5 cand	57:15 the רָם וְנִשָּׂא One dwells with the דַּכָּא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	heb	וְנִשָּׂא	Isa 57:15	4 cand	57:15 the רָם וְנִשָּׂא One dwells with the דַּכָּא
CONFIRMED	Isaiah/book-overview-isaiah.md	104	heb	דַּכָּא	Isa 57:15	3 cand	57:15 the רָם וְנִשָּׂא One dwells with the דַּכָּא
CONFIRMED	Isaiah/book-overview-isaiah.md	141	heb	הַאֲזִינוּ	Isa 1:2	1 cand	1:2 (הַאֲזִינוּ / שִׁמְעוּ heavens-and-earth summons ≈ Deut 32:1)
CONFIRMED	Isaiah/book-overview-isaiah.md	141	heb	שִׁמְעוּ	Deut 32:1	1 cand	1:2 (הַאֲזִינוּ / שִׁמְעוּ heavens-and-earth summons ≈ Deut 32:1)
CONFIRMED	Isaiah/book-overview-isaiah.md	141	heb	צוּר	Isa 8:14	8 cand	the **צוּר** *Rock* motif 8:14
CONFIRMED	Isaiah/book-overview-isaiah.md	142	heb	לֹא־תֹהוּ	Gen 1:2	surface	45:18 לֹא־תֹהוּ בְרָאָהּ (Gen 1:2 *tohu*)
CONFIRMED	Isaiah/book-overview-isaiah.md	142	heb	בְרָאָהּ	Gen 1:2	surface	45:18 לֹא־תֹהוּ בְרָאָהּ (Gen 1:2 *tohu*)
CONFIRMED	Isaiah/book-overview-isaiah.md	147	heb	חַסְדֵי	Isa 55:3	1 cand	**55:3 חַסְדֵי דָוִד הַנֶּאֱמָנִים**
CONFIRMED	Isaiah/book-overview-isaiah.md	147	heb	דָוִד	Isa 55:3	3 cand	**55:3 חַסְדֵי דָוִד הַנֶּאֱמָנִים**
CONFIRMED	Isaiah/book-overview-isaiah.md	147	heb	הַנֶּאֱמָנִים	Isa 55:3	1 cand	**55:3 חַסְדֵי דָוִד הַנֶּאֱמָנִים**
CONFIRMED	Isaiah/book-overview-isaiah.md	147	heb	דָּוִד	Isa 7:2	3 cand	דָּוִד is named 10× (7:2, 13
CONFIRMED	Isaiah/book-overview-isaiah.md	148	heb	אָשָׁם	Isa 53:10	6 cand	**53:10 אָשָׁם**
CONFIRMED	Isaiah/book-overview-isaiah.md	148	heb	דְּרוֹר	Isa 61:1	2 cand	**61:1 דְּרוֹר**
CONFIRMED	Isaiah/book-overview-isaiah.md	151	heb	קָדוֹשׁ	Isa 6:3	1 cand	6:3 threefold קָדוֹשׁ
WEAK	Isaiah/book-overview-isaiah.md	160	heb	אֵל	Isa 7:14	13 cand	with the boundary marked.** The book presents four passages as announcing a coming figure in terms it does not apply to any contemporary: the sign-child **Immanuel** (7:14), the child whose names include אֵל גִּבּוֹר and whose government has no end (9:6–7), th
CONFIRMED	Isaiah/book-overview-isaiah.md	160	heb	גִּבּוֹר	Isa 9:6-7	surface	with the boundary marked.** The book presents four passages as announcing a coming figure in terms it does not apply to any contemporary: the sign-child **Immanuel** (7:14), the child whose names include אֵל גִּבּוֹר and whose government has no end (9:6–7), th
CONFIRMED	Isaiah/book-overview-isaiah.md	160	heb	אֵל	Isa 9:6	surface	but it is a claim the book's own escalating language invites, and 9:6's אֵל גִּבּוֹר is not a title the LXX was willing to translate
CONFIRMED	Isaiah/book-overview-isaiah.md	160	heb	גִּבּוֹר	Isa 9:6	surface	but it is a claim the book's own escalating language invites, and 9:6's אֵל גִּבּוֹר is not a title the LXX was willing to translate
CONFIRMED	Isaiah/book-overview-isaiah.md	164	heb	עַבְדִּי	Isa 41:8	5 cand	**עַבְדִּי** singular runs from 41:8 to 53:11
CONFIRMED	Isaiah/book-overview-isaiah.md	164	heb	עַבְדִּי	Isa 53:11	5 cand	**עַבְדִּי** singular runs from 41:8 to 53:11
CONFIRMED	Isaiah/book-overview-isaiah.md	168	heb	שְׁלָחַנִי	Isa 61:1	surface	Note what 61:1 does lexically: **שְׁלָחַנִי**, "he has sent me"
CONFIRMED	Isaiah/book-overview-isaiah.md	206	heb	הָאֲנָשִׁים	Isa 66:24	2 cand	**66:24** הָאֲנָשִׁים **הַפֹּשְׁעִים בִּי** "the men who rebelled against me"
CONFIRMED	Isaiah/book-overview-isaiah.md	206	heb	הַפֹּשְׁעִים	Isa 66:24	2 cand	**66:24** הָאֲנָשִׁים **הַפֹּשְׁעִים בִּי** "the men who rebelled against me"
CONFIRMED	Isaiah/book-overview-isaiah.md	206	heb	בִּי	Isa 66:24	surface	**66:24** הָאֲנָשִׁים **הַפֹּשְׁעִים בִּי** "the men who rebelled against me"
CONFIRMED	Isaiah/book-overview-isaiah.md	207	heb	וְאִשָּׁם	Isa 66:24	surface	**66:24** וְאִשָּׁם **לֹא תִכְבֶּה** "their fire shall not be quenched"
CONFIRMED	Isaiah/book-overview-isaiah.md	207	heb	לֹא	Isa 66:24	6 cand	**66:24** וְאִשָּׁם **לֹא תִכְבֶּה** "their fire shall not be quenched"
CONFIRMED	Isaiah/book-overview-isaiah.md	207	heb	תִכְבֶּה	Isa 66:24	1 cand	**66:24** וְאִשָּׁם **לֹא תִכְבֶּה** "their fire shall not be quenched"
CONFIRMED	Isaiah/book-overview-isaiah.md	208	heb	בְּחַרְתֶּם	Isa 1:29	1 cand	**1:29** the **oaks** you desired, the **gardens** you have **chosen** (בְּחַרְתֶּם)
CONFIRMED	Isaiah/book-overview-isaiah.md	210	heb	רָם	Isa 2:12-17	5 cand	**2:12–17** everything **רָם וְנִשָּׂא** brought low
CONFIRMED	Isaiah/book-overview-isaiah.md	210	heb	וְנִשָּׂא	Isa 2:12-17	4 cand	**2:12–17** everything **רָם וְנִשָּׂא** brought low
CONFIRMED	Isaiah/book-overview-isaiah.md	210	heb	רָם	Isa 6:1	5 cand	**6:1** the Lord on a throne **רָם וְנִשָּׂא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	heb	וְנִשָּׂא	Isa 6:1	4 cand	**6:1** the Lord on a throne **רָם וְנִשָּׂא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	heb	יָרוּם	Isa 52:13	1 cand	**52:13** the Servant **יָרוּם וְנִשָּׂא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	heb	וְנִשָּׂא	Isa 52:13	4 cand	**52:13** the Servant **יָרוּם וְנִשָּׂא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	heb	רָם	Isa 57:15	5 cand	**57:15** the **רָם וְנִשָּׂא** One dwells with the **דַּכָּא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	heb	וְנִשָּׂא	Isa 57:15	4 cand	**57:15** the **רָם וְנִשָּׂא** One dwells with the **דַּכָּא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	heb	דַּכָּא	Isa 57:15	3 cand	**57:15** the **רָם וְנִשָּׂא** One dwells with the **דַּכָּא**
CONFIRMED	Isaiah/book-overview-isaiah.md	210	heb	מְדֻכָּא	Isa 53:5	1 cand	**53:5, 10** the Servant **מְדֻכָּא**
CONFIRMED	Isaiah/book-overview-isaiah.md	211	heb	זֶרַע	Isa 6:13	4 cand	**6:13** "the **holy seed** (זֶרַע קֹדֶשׁ) is its **stump**"
CONFIRMED	Isaiah/book-overview-isaiah.md	211	heb	קֹדֶשׁ	Isa 6:13	7 cand	**6:13** "the **holy seed** (זֶרַע קֹדֶשׁ) is its **stump**"
CONFIRMED	Isaiah/book-overview-isaiah.md	213	heb	סָרִיסִים	Isa 39:7	1 cand	**39:7** "some of your own sons… shall be **eunuchs** (סָרִיסִים) in the palace of the king of Babylon"
CONFIRMED	Isaiah/book-overview-isaiah.md	213	heb	סָרִיס	Isa 39:7	2 cand	סָרִיס occurs only 3× in Isaiah (39:7
CONFIRMED	Isaiah/book-overview-isaiah.md	216	heb	תַאֲמִינוּ	Isa 7:9	2 cand	**7:9** "if you are not firm in faith (תַאֲמִינוּ) you will not be firm at all (תֵאָמֵנוּ)"
CONFIRMED	Isaiah/book-overview-isaiah.md	216	heb	תֵאָמֵנוּ	Isa 7:9	1 cand	**7:9** "if you are not firm in faith (תַאֲמִינוּ) you will not be firm at all (תֵאָמֵנוּ)"
CONFIRMED	Isaiah/book-overview-isaiah.md	216	heb	הַמַּאֲמִין	Isa 28:16	1 cand	**28:16** "the one who **believes** (הַמַּאֲמִין) will not be in haste"
CONFIRMED	Isaiah/book-overview-isaiah.md	218	heb	מְסִלָּה	Isa 11:16	1 cand	מְסִלָּה is a whole-book thread (11:16
CONFIRMED	Isaiah/book-overview-isaiah.md	219	heb	תּוֹלַעַת	Isa 41:14	1 cand	**41:14** "fear not, you **worm** (תּוֹלַעַת) Jacob"
CONFIRMED	Isaiah/book-overview-isaiah.md	219	heb	תּוֹלַעְתָּם	Isa 66:24	1 cand	**66:24** "their **worm** (תּוֹלַעְתָּם) shall not die"
CONFIRMED	Isaiah/book-overview-isaiah.md	220	heb	אֵילִים	Isa 1:29	3 cand	**1:29** ashamed of the **oaks** (אֵילִים) that you desired
CONFIRMED	Isaiah/book-overview-isaiah.md	220	heb	אֵילֵי	Isa 61:3	1 cand	**61:3** the redeemed called **אֵילֵי הַצֶּדֶק**, "**oaks of righteousness**, the planting of the LORD"
CONFIRMED	Isaiah/book-overview-isaiah.md	220	heb	הַצֶּדֶק	Isa 61:3	5 cand	**61:3** the redeemed called **אֵילֵי הַצֶּדֶק**, "**oaks of righteousness**, the planting of the LORD"
CONFIRMED	Isaiah/book-overview-isaiah.md	221	heb	הִנְנִי	Isa 6:8	2 cand	**6:8** Isaiah answers **הִנְנִי**
CONFIRMED	Isaiah/book-overview-isaiah.md	221	heb	הִנְנִי	Isa 65:1	2 cand	**65:1** God says **הִנְנִי הִנְנִי**
CONFIRMED	Isaiah/book-overview-isaiah.md	222	heb	אֶשְׁלַח	Isa 6:8	1 cand	**6:8** "whom shall I **send** (אֶשְׁלַח)… **send me** (שְׁלָחֵנִי)"
CONFIRMED	Isaiah/book-overview-isaiah.md	222	heb	שְׁלָחֵנִי	Isa 6:8	surface	**6:8** "whom shall I **send** (אֶשְׁלַח)… **send me** (שְׁלָחֵנִי)"
CONFIRMED	Isaiah/book-overview-isaiah.md	222	heb	שְׁלָחַנִי	Isa 48:16	surface	**48:16** "the Lord GOD **has sent me** (שְׁלָחַנִי), and his Spirit"
CONFIRMED	Isaiah/book-overview-isaiah.md	223	heb	אֶנָּחֵם	Isa 1:24	1 cand	**1:24** "Ah, I will **vent myself** (אֶנָּחֵם) on my enemies"
CONFIRMED	Isaiah/book-overview-isaiah.md	223	heb	אֶנָּחֵם	Isa 57:6	1 cand	**57:6** "Shall I **relent** (אֶנָּחֵם) for these things?"
